date,epu_index,epu_index_smooth,epu_count,total_count,epu_ratio,avg_confidence,Volatility,TurnoverRate,Interest,EPU_Baker,EPU_Deepseek
2022-02-01,0.0,0.0,0,1,0.0,0.7344672898394283,0.020206649820144255,0.7006609559618304,0.004033340368798332,92.7187786844925,0.0
2022-03-01,0.0,33.333333333333336,0,1,0.0,0.8861040616398208,0.018944733653012084,0.2822220799714553,0.005189431251663751,88.6454307264515,0.0
2022-04-01,100.0,66.66666666666667,1,1,1.0,0.3621562112096577,0.030317955096061614,0.7494684639089716,0.002556292333889367,95.77981998989482,5.595
2022-05-01,100.0,66.66666666666667,1,1,1.0,0.3173546990787269,0.029341618387797135,0.6759829202952664,0.0035506464121856426,117.94107725643485,5.595
2022-06-01,0.0,,0,1,0.0,0.8629376454526899,0.019804033480641112,0.514295855333843,0.005583261909100691,125.5654228597165,0.0
2022-07-01,48.83945459011139,,16,26,0.6153846153846154,0.799035382022254,0.02430301209166983,0.6134850614522905,0.0033916419994472527,126.03608333185018,2.732567484316732
2022-08-01,41.36651045766952,52.30404801921956,16,37,0.43243243243243246,0.7068777042230436,0.0260211712139366,0.3963542714077564,0.003695739506520156,142.18294398579454,2.3144562601066094
2022-09-01,66.70617900987777,66.27612831031252,19,23,0.8260869565217391,0.8818640804157565,0.02665047383188513,0.6043324494240372,0.0037168293004659378,119.00504228464875,3.7322107156026614
2022-10-01,90.75569546339025,67.91118473910633,18,44,0.4090909090909091,0.7517559963200033,0.027974302943389158,0.6916114305554878,0.003119260438898768,163.40502925089203,5.077781161176684
2022-11-01,46.27167974405098,59.46577051103083,18,47,0.3829787234042553,0.8325044568707964,0.02547442689937409,0.7489379293150378,0.0031431830360580714,109.66923599649678,2.588900481679652
2022-12-01,41.36993632565127,55.51295739187908,19,33,0.5757575757575758,0.7623422152178821,0.022948386708569992,0.5432883576543979,0.004013127692585387,198.97269017695908,2.3146479374201885
2023-01-01,78.89725610593499,57.4529139871585,18,37,0.4864864864864865,0.8040136042355621,0.028073232696596197,0.5604552534805742,0.0029858020054380173,137.98520498374592,4.4143014791270625
2023-02-01,52.091549529889235,50.32960187860808,7,45,0.15555555555555556,0.8093420558686559,0.02326526707892661,0.5581360106766261,0.004083679064966793,92.18074190891471,2.9145221961973027
2023-03-01,20.0,37.44954995203035,16,28,0.5714285714285714,0.7369708911051054,0.02073684715099227,0.6603531267688412,0.003782158732896761,84.18874165811198,1.119
2023-04-01,40.25710032620182,26.752366775400606,11,45,0.24444444444444444,0.8939169255529117,0.024256515865573054,0.6266207938372675,0.004767510373795779,131.78699977214754,2.252384763250992
2023-05-01,20.0,28.160296796775725,8,40,0.2,0.8550265646722229,0.02280349977988611,0.5158368946219298,0.0038502442038455442,109.61163304016983,1.119
2023-06-01,24.223790064125346,31.29298637653838,13,21,0.6190476190476191,0.8878997883128379,0.022652298230431286,0.6253383676768519,0.004028852998241998,137.94347979738342,1.3553210540878131
2023-07-01,49.65516906548979,31.29298637653838,7,39,0.1794871794871795,0.8789654700855298,0.024869389990797717,0.6150207333496285,0.00428362882453659,131.97264787379933,2.778206709214153
2023-08-01,20.0,29.88505635516326,9,47,0.19148936170212766,0.8195799957622171,0.02176392950430141,0.6656774140519226,0.003626438691796685,114.13064922023918,1.119
2023-09-01,20.0,28.90347531840153,7,34,0.20588235294117646,0.8843748470046234,0.020586511209523272,0.4986076056108985,0.0043556008173157275,90.9117050578932,1.119
2023-10-01,46.71042595520458,33.65272167534082,11,47,0.23404255319148937,0.7176985004103839,0.023975239055511247,0.5689223261390476,0.004566685969152969,72.18512489137704,2.613448332193696
2023-11-01,34.2477390708179,47.60865783679117,9,26,0.34615384615384615,0.739196572483829,0.02300730230910179,0.5471384481875539,0.0032627657477116885,103.62152197802017,1.9161610010122614
2023-12-01,61.86780848435101,,13,31,0.41935483870967744,0.7090454577821076,0.027244681684923916,0.4739929984206006,0.0038188719969280273,144.06874355905668,3.4615038846994386
